Series ID,Year,Period,Label,Value
WPS411,2009,M06,2009 Jun,100.1
WPS411,2009,M07,2009 Jul,100.3
WPS411,2009,M08,2009 Aug,100.4
WPS411,2009,M09,2009 Sep,100.8
WPS411,2009,M10,2009 Oct,101.3
WPS411,2009,M11,2009 Nov,101.5
WPS411,2009,M12,2009 Dec,101.7
WPS411,2010,M01,2010 Jan,102.5
WPS411,2010,M02,2010 Feb,102.6
WPS411,2010,M03,2010 Mar,102.7
WPS411,2010,M04,2010 Apr,102.7
WPS411,2010,M05,2010 May,102.8
WPS411,2010,M06,2010 Jun,103.1
WPS411,2010,M07,2010 Jul,103.2
WPS411,2010,M08,2010 Aug,103.4
WPS411,2010,M09,2010 Sep,103.5
WPS411,2010,M10,2010 Oct,103.7
WPS411,2010,M11,2010 Nov,103.9
WPS411,2010,M12,2010 Dec,104.1
WPS411,2011,M01,2011 Jan,104.7
WPS411,2011,M02,2011 Feb,104.9
WPS411,2011,M03,2011 Mar,105.2
WPS411,2011,M04,2011 Apr,105.6
WPS411,2011,M05,2011 May,105.8
WPS411,2011,M06,2011 Jun,106.0
WPS411,2011,M07,2011 Jul,106.1
WPS411,2011,M08,2011 Aug,106.5
WPS411,2011,M09,2011 Sep,106.6
WPS411,2011,M10,2011 Oct,107.0
WPS411,2011,M11,2011 Nov,107.2
WPS411,2011,M12,2011 Dec,107.2
WPS411,2012,M01,2012 Jan,107.6
WPS411,2012,M02,2012 Feb,107.6
WPS411,2012,M03,2012 Mar,107.8
WPS411,2012,M04,2012 Apr,108.1
WPS411,2012,M05,2012 May,108.2
WPS411,2012,M06,2012 Jun,108.4
WPS411,2012,M07,2012 Jul,108.5
WPS411,2012,M08,2012 Aug,108.6
WPS411,2012,M09,2012 Sep,108.8
WPS411,2012,M10,2012 Oct,108.9
WPS411,2012,M11,2012 Nov,109.0
WPS411,2012,M12,2012 Dec,109.1
WPS411,2013,M01,2013 Jan,109.1
WPS411,2013,M02,2013 Feb,109.3
WPS411,2013,M03,2013 Mar,109.4
WPS411,2013,M04,2013 Apr,109.4
WPS411,2013,M05,2013 May,109.5
WPS411,2013,M06,2013 Jun,109.6
WPS411,2013,M07,2013 Jul,109.8
WPS411,2013,M08,2013 Aug,110.1
WPS411,2013,M09,2013 Sep,110.2
WPS411,2013,M10,2013 Oct,110.2
WPS411,2013,M11,2013 Nov,110.4
WPS411,2013,M12,2013 Dec,110.5
WPS411,2014,M01,2014 Jan,110.5
WPS411,2014,M02,2014 Feb,110.6
WPS411,2014,M03,2014 Mar,110.6
WPS411,2014,M04,2014 Apr,110.8
WPS411,2014,M05,2014 May,110.9
WPS411,2014,M06,2014 Jun,111.0
WPS411,2014,M07,2014 Jul,111.1
WPS411,2014,M08,2014 Aug,111.0
WPS411,2014,M09,2014 Sep,111.1
WPS411,2014,M10,2014 Oct,111.2
WPS411,2014,M11,2014 Nov,111.5
WPS411,2014,M12,2014 Dec,111.7
WPS411,2015,M01,2015 Jan,111.5
WPS411,2015,M02,2015 Feb,111.7
WPS411,2015,M03,2015 Mar,111.9
WPS411,2015,M04,2015 Apr,111.9
WPS411,2015,M05,2015 May,112.0
WPS411,2015,M06,2015 Jun,112.3
WPS411,2015,M07,2015 Jul,112.4
WPS411,2015,M08,2015 Aug,112.7
WPS411,2015,M09,2015 Sep,112.8
WPS411,2015,M10,2015 Oct,113.1
WPS411,2015,M11,2015 Nov,113.3
WPS411,2015,M12,2015 Dec,113.5
WPS411,2016,M01,2016 Jan,113.6
WPS411,2016,M02,2016 Feb,113.9
WPS411,2016,M03,2016 Mar,114.0
WPS411,2016,M04,2016 Apr,114.3
WPS411,2016,M05,2016 May,114.4
WPS411,2016,M06,2016 Jun,114.5
WPS411,2016,M07,2016 Jul,114.7
WPS411,2016,M08,2016 Aug,115.0
WPS411,2016,M09,2016 Sep,114.9
WPS411,2016,M10,2016 Oct,115.5
WPS411,2016,M11,2016 Nov,115.6
WPS411,2016,M12,2016 Dec,115.9
WPS411,2017,M01,2017 Jan,116.5
WPS411,2017,M02,2017 Feb,116.6
WPS411,2017,M03,2017 Mar,116.9
WPS411,2017,M04,2017 Apr,117.6
WPS411,2017,M05,2017 May,117.7
WPS411,2017,M06,2017 Jun,118.3
WPS411,2017,M07,2017 Jul,118.2
WPS411,2017,M08,2017 Aug,118.3
WPS411,2017,M09,2017 Sep,118.5
WPS411,2017,M10,2017 Oct,118.7
WPS411,2017,M11,2017 Nov,118.7
WPS411,2017,M12,2017 Dec,119.3
WPS411,2018,M01,2018 Jan,120.2
WPS411,2018,M02,2018 Feb,120.4
WPS411,2018,M03,2018 Mar,120.7
WPS411,2018,M04,2018 Apr,120.9
WPS411,2018,M05,2018 May,121.2
WPS411,2018,M06,2018 Jun,121.1
WPS411,2018,M07,2018 Jul,121.8
WPS411,2018,M08,2018 Aug,122.1
WPS411,2018,M09,2018 Sep,122.4
WPS411,2018,M10,2018 Oct,122.7
WPS411,2018,M11,2018 Nov,122.8
WPS411,2018,M12,2018 Dec,123.1
WPS411,2019,M01,2019 Jan,122.8
WPS411,2019,M02,2019 Feb,123.0
WPS411,2019,M03,2019 Mar,123.3
WPS411,2019,M04,2019 Apr,123.4
WPS411,2019,M05,2019 May,123.7
WPS411,2019,M06,2019 Jun,124.0
WPS411,2019,M07,2019 Jul,124.3
WPS411,2019,M08,2019 Aug,124.6
WPS411,2019,M09,2019 Sep,124.7
WPS411,2019,M10,2019 Oct,124.8
WPS411,2019,M11,2019 Nov,125.0
WPS411,2019,M12,2019 Dec,125.2
WPS411,2020,M01,2020 Jan,125.5
WPS411,2020,M02,2020 Feb,125.8
WPS411,2020,M03,2020 Mar,126.0
WPS411,2020,M04,2020 Apr,126.1
WPS411,2020,M05,2020 May,126.1
WPS411,2020,M06,2020 Jun,126.2
WPS411,2020,M07,2020 Jul,126.0
WPS411,2020,M08,2020 Aug,126.1
WPS411,2020,M09,2020 Sep,126.2
WPS411,2020,M10,2020 Oct,126.2
WPS411,2020,M11,2020 Nov,126.2
WPS411,2020,M12,2020 Dec,126.5
WPS411,2021,M01,2021 Jan,125.1
WPS411,2021,M02,2021 Feb,125.2
WPS411,2021,M03,2021 Mar,125.4
WPS411,2021,M04,2021 Apr,125.5
WPS411,2021,M05,2021 May,125.6
WPS411,2021,M06,2021 Jun,125.5
WPS411,2021,M07,2021 Jul,125.871
WPS411,2021,M08,2021 Aug,125.982
WPS411,2021,M09,2021 Sep,125.985
WPS411,2021,M10,2021 Oct,126.082
WPS411,2021,M11,2021 Nov,126.201
WPS411,2021,M12,2021 Dec,126.384
WPS411,2022,M01,2022 Jan,126.895
WPS411,2022,M02,2022 Feb,127.274
WPS411,2022,M03,2022 Mar,127.461
WPS411,2022,M04,2022 Apr,127.683
WPS411,2022,M05,2022 May,127.738
WPS411,2022,M06,2022 Jun,127.976
WPS411,2022,M07,2022 Jul,128.442
WPS411,2022,M08,2022 Aug,128.700
WPS411,2022,M09,2022 Sep,129.053
WPS411,2022,M10,2022 Oct,129.400
WPS411,2022,M11,2022 Nov,129.595
WPS411,2022,M12,2022 Dec,130.541
WPS411,2023,M01,2023 Jan,131.290
WPS411,2023,M02,2023 Feb,131.485
WPS411,2023,M03,2023 Mar,131.917
WPS411,2023,M04,2023 Apr,132.403
WPS411,2023,M05,2023 May,132.461
WPS411,2023,M06,2023 Jun,133.766
WPS411,2023,M07,2023 Jul,133.686
WPS411,2023,M08,2023 Aug,134.070
WPS411,2023,M09,2023 Sep,134.497
WPS411,2023,M10,2023 Oct,134.889
WPS411,2023,M11,2023 Nov,135.330
WPS411,2023,M12,2023 Dec,136.169
WPS411,2024,M01,2024 Jan,136.815
WPS411,2024,M02,2024 Feb,137.314
WPS411,2024,M03,2024 Mar,137.745
WPS411,2024,M04,2024 Apr,138.324
WPS411,2024,M05,2024 May,139.104
WPS411,2024,M06,2024 Jun,139.729
WPS411,2024,M07,2024 Jul,140.095
WPS411,2024,M08,2024 Aug,140.815
WPS411,2024,M09,2024 Sep,141.826
WPS411,2024,M10,2024 Oct,142.310
WPS411,2024,M11,2024 Nov,142.643
WPS411,2024,M12,2024 Dec,143.048
WPS411,2025,M01,2025 Jan,143.692
WPS411,2025,M02,2025 Feb,144.090
WPS411,2025,M03,2025 Mar,145.274
WPS411,2025,M04,2025 Apr,145.340
WPS411,2025,M05,2025 May,145.376
WPS411,2025,M06,2025 Jun,145.435
WPS411,2025,M07,2025 Jul,145.431
WPS411,2025,M08,2025 Aug,145.526
