Series ID,Year,Period,Label,Value
WPU41110401,2009,M03,2009 Mar,100.0
WPU41110401,2009,M04,2009 Apr,100.4
WPU41110401,2009,M05,2009 May,100.3
WPU41110401,2009,M06,2009 Jun,100.6
WPU41110401,2009,M07,2009 Jul,100.9
WPU41110401,2009,M08,2009 Aug,100.9
WPU41110401,2009,M09,2009 Sep,101.2
WPU41110401,2009,M10,2009 Oct,101.9
WPU41110401,2009,M11,2009 Nov,102.0
WPU41110401,2009,M12,2009 Dec,102.0
WPU41110401,2010,M01,2010 Jan,102.1
WPU41110401,2010,M02,2010 Feb,102.2
WPU41110401,2010,M03,2010 Mar,102.3
WPU41110401,2010,M04,2010 Apr,101.9
WPU41110401,2010,M05,2010 May,101.9
WPU41110401,2010,M06,2010 Jun,102.1
WPU41110401,2010,M07,2010 Jul,102.2
WPU41110401,2010,M08,2010 Aug,102.3
WPU41110401,2010,M09,2010 Sep,102.7
WPU41110401,2010,M10,2010 Oct,103.0
WPU41110401,2010,M11,2010 Nov,103.2
WPU41110401,2010,M12,2010 Dec,103.2
WPU41110401,2011,M01,2011 Jan,103.3
WPU41110401,2011,M02,2011 Feb,103.4
WPU41110401,2011,M03,2011 Mar,103.8
WPU41110401,2011,M04,2011 Apr,104.6
WPU41110401,2011,M05,2011 May,104.7
WPU41110401,2011,M06,2011 Jun,104.7
WPU41110401,2011,M07,2011 Jul,105.0
WPU41110401,2011,M08,2011 Aug,105.5
WPU41110401,2011,M09,2011 Sep,105.7
WPU41110401,2011,M10,2011 Oct,106.3
WPU41110401,2011,M11,2011 Nov,106.6
WPU41110401,2011,M12,2011 Dec,106.5
WPU41110401,2012,M01,2012 Jan,106.7
WPU41110401,2012,M02,2012 Feb,106.8
WPU41110401,2012,M03,2012 Mar,106.8
WPU41110401,2012,M04,2012 Apr,107.1
WPU41110401,2012,M05,2012 May,107.1
WPU41110401,2012,M06,2012 Jun,107.2
WPU41110401,2012,M07,2012 Jul,107.4
WPU41110401,2012,M08,2012 Aug,107.5
WPU41110401,2012,M09,2012 Sep,107.8
WPU41110401,2012,M10,2012 Oct,108.1
WPU41110401,2012,M11,2012 Nov,108.2
WPU41110401,2012,M12,2012 Dec,108.2
WPU41110401,2013,M01,2013 Jan,108.3
WPU41110401,2013,M02,2013 Feb,108.5
WPU41110401,2013,M03,2013 Mar,108.5
WPU41110401,2013,M04,2013 Apr,108.4
WPU41110401,2013,M05,2013 May,108.5
WPU41110401,2013,M06,2013 Jun,108.6
WPU41110401,2013,M07,2013 Jul,108.9
WPU41110401,2013,M08,2013 Aug,109.2
WPU41110401,2013,M09,2013 Sep,109.3
WPU41110401,2013,M10,2013 Oct,109.4
WPU41110401,2013,M11,2013 Nov,109.5
WPU41110401,2013,M12,2013 Dec,109.6
WPU41110401,2014,M01,2014 Jan,109.7
WPU41110401,2014,M02,2014 Feb,109.9
WPU41110401,2014,M03,2014 Mar,109.9
WPU41110401,2014,M04,2014 Apr,110.2
WPU41110401,2014,M05,2014 May,110.2
WPU41110401,2014,M06,2014 Jun,110.3
WPU41110401,2014,M07,2014 Jul,110.4
WPU41110401,2014,M08,2014 Aug,110.3
WPU41110401,2014,M09,2014 Sep,110.5
WPU41110401,2014,M10,2014 Oct,110.6
WPU41110401,2014,M11,2014 Nov,111.0
WPU41110401,2014,M12,2014 Dec,111.2
WPU41110401,2015,M01,2015 Jan,111.3
WPU41110401,2015,M02,2015 Feb,111.6
WPU41110401,2015,M03,2015 Mar,111.6
WPU41110401,2015,M04,2015 Apr,111.9
WPU41110401,2015,M05,2015 May,112.1
WPU41110401,2015,M06,2015 Jun,112.3
WPU41110401,2015,M07,2015 Jul,112.7
WPU41110401,2015,M08,2015 Aug,112.8
WPU41110401,2015,M09,2015 Sep,113.0
WPU41110401,2015,M10,2015 Oct,113.5
WPU41110401,2015,M11,2015 Nov,113.8
WPU41110401,2015,M12,2015 Dec,114.0
WPU41110401,2016,M01,2016 Jan,114.1
WPU41110401,2016,M02,2016 Feb,114.4
WPU41110401,2016,M03,2016 Mar,114.5
WPU41110401,2016,M04,2016 Apr,115.0
WPU41110401,2016,M05,2016 May,115.1
WPU41110401,2016,M06,2016 Jun,115.2
WPU41110401,2016,M07,2016 Jul,115.6
WPU41110401,2016,M08,2016 Aug,115.8
WPU41110401,2016,M09,2016 Sep,115.5
WPU41110401,2016,M10,2016 Oct,116.7
WPU41110401,2016,M11,2016 Nov,116.7
WPU41110401,2016,M12,2016 Dec,116.9
WPU41110401,2017,M01,2017 Jan,116.9
WPU41110401,2017,M02,2017 Feb,117.0
WPU41110401,2017,M03,2017 Mar,117.0
WPU41110401,2017,M04,2017 Apr,118.4
WPU41110401,2017,M05,2017 May,118.5
WPU41110401,2017,M06,2017 Jun,119.3
WPU41110401,2017,M07,2017 Jul,119.3
WPU41110401,2017,M08,2017 Aug,119.3
WPU41110401,2017,M09,2017 Sep,119.5
WPU41110401,2017,M10,2017 Oct,119.7
WPU41110401,2017,M11,2017 Nov,119.6
WPU41110401,2017,M12,2017 Dec,120.7
WPU41110401,2018,M01,2018 Jan,120.5
WPU41110401,2018,M02,2018 Feb,120.6
WPU41110401,2018,M03,2018 Mar,120.8
WPU41110401,2018,M04,2018 Apr,121.1
WPU41110401,2018,M05,2018 May,121.4
WPU41110401,2018,M06,2018 Jun,121.2
WPU41110401,2018,M07,2018 Jul,121.6
WPU41110401,2018,M08,2018 Aug,121.6
WPU41110401,2018,M09,2018 Sep,121.8
WPU41110401,2018,M10,2018 Oct,122.3
WPU41110401,2018,M11,2018 Nov,122.4
WPU41110401,2018,M12,2018 Dec,122.9
WPU41110401,2019,M01,2019 Jan,123.0
WPU41110401,2019,M02,2019 Feb,123.1
WPU41110401,2019,M03,2019 Mar,123.1
WPU41110401,2019,M04,2019 Apr,123.1
WPU41110401,2019,M05,2019 May,123.7
WPU41110401,2019,M06,2019 Jun,124.1
WPU41110401,2019,M07,2019 Jul,124.7
WPU41110401,2019,M08,2019 Aug,124.9
WPU41110401,2019,M09,2019 Sep,124.8
WPU41110401,2019,M10,2019 Oct,125.1
WPU41110401,2019,M11,2019 Nov,125.2
WPU41110401,2019,M12,2019 Dec,125.3
WPU41110401,2020,M01,2020 Jan,125.4
WPU41110401,2020,M02,2020 Feb,125.4
WPU41110401,2020,M03,2020 Mar,125.6
WPU41110401,2020,M04,2020 Apr,125.3
WPU41110401,2020,M05,2020 May,125.6
WPU41110401,2020,M06,2020 Jun,125.9
WPU41110401,2020,M07,2020 Jul,125.7
WPU41110401,2020,M08,2020 Aug,125.7
WPU41110401,2020,M09,2020 Sep,125.6
WPU41110401,2020,M10,2020 Oct,125.3
WPU41110401,2020,M11,2020 Nov,125.2
WPU41110401,2020,M12,2020 Dec,125.5
WPU41110401,2021,M01,2021 Jan,123.8
WPU41110401,2021,M02,2021 Feb,123.6
WPU41110401,2021,M03,2021 Mar,123.4
WPU41110401,2021,M04,2021 Apr,123.3
WPU41110401,2021,M05,2021 May,123.5
WPU41110401,2021,M06,2021 Jun,123.7
WPU41110401,2021,M07,2021 Jul,124.238
WPU41110401,2021,M08,2021 Aug,124.220
WPU41110401,2021,M09,2021 Sep,124.065
WPU41110401,2021,M10,2021 Oct,123.798
WPU41110401,2021,M11,2021 Nov,123.846
WPU41110401,2021,M12,2021 Dec,123.834
WPU41110401,2022,M01,2022 Jan,124.008
WPU41110401,2022,M02,2022 Feb,124.510
WPU41110401,2022,M03,2022 Mar,124.612
WPU41110401,2022,M04,2022 Apr,124.785
